count,item_1,item_2,lift,item_1_count,item_2_count
5,Cad-b,Choco Oreo Shake (Milkshake),0.4961892040543726,429,267
6,Choco-Chip Brownie Shake (Thickshake),Waffles,0.49970326409495547,81,1685
10,Belgium Dark Chocolate Brownie Shake (Milkshake),Strawberry Shake (Milkshake),0.504426545962857,249,905
11,Blue Curacao,Cad-b,0.5060096153846154,576,429
7,Choco Oreo Shake (Milkshake),Mango Shake (Milkshake),0.507685240127864,267,587
45,Classic Lemonade,Cold Coffee,0.5081919329504371,411,2449
17,Chocolate Brownie Shake (Milkshake),Waffles,0.514268605873508,223,1685
8,Cad-b,Classic Lemonade,0.5157470266959319,429,411
7,Chocolate Shake (Milkshake),Kitkat Shake,0.5335331509494688,624,239
10,Chocolate Shake (Milkshake),Dry Fruit Shake (Milkshake),0.5405443962565624,624,337
7,Coffee Shake (Milkshake),Cold Coffee,0.5415067374438547,60,2449
6,Cad-b,Hazelnut Shake (Milkshake),0.542590515286761,429,293
7,Blue Curacao,Nutella Brownie Shake (Milkshake),0.5481770833333334,576,252
18,Classic Lemonade,Strawberry Shake (Milkshake),0.550082671290882,411,905
7,Cad-b,Dry Fruit Shake (Milkshake),0.5503724761884998,429,337
24,Hazelnut Shake (Milkshake),Waffles,0.5525728927193365,293,1685
16,Strawberry Cooler,Waffles,0.5592533940130071,193,1685
17,Chilli Guava,Cold Coffee,0.5596118259298194,141,2449
12,Choco Oreo Shake (Milkshake),Strawberry Shake (Milkshake),0.5645043143584332,267,905
10,Choco-Chip Brownie Shake (Milkshake),Mango Shake (Milkshake),0.569546046698066,340,587
10,Blackcurrant Shake (Milkshake),Chocolate Shake (Milkshake),0.5710453339763684,319,624
24,Cold Coffee,Strawberry Cooler,0.5771796461281649,2449,193
10,Blue Curacao,Choco-Chip Brownie Shake (Milkshake),0.5804227941176471,576,340
13,Strawberry Banana Shake (Milkshake),Waffles,0.5807809460176468,151,1685
5,Cad-b,Chocolate Brownie Shake (Milkshake),0.5940920066480605,429,223
6,Mango Shake (Milkshake),Strawberry Cooler,0.6020072203440697,587,193
5,Belgium Dark Chocolate Brownie Shake (Milkshake),Wonder Vanilla Shake (Milkshake),0.6038439472174412,249,378
18,Blue Curacao,Mango Shake (Milkshake),0.605142674616695,576,587
10,Blackcurrant Shake (Milkshake),Mango Shake (Milkshake),0.6070396735966846,319,587
5,Caramel Shake (Milkshake),Mango Shake (Milkshake),0.6089486033878693,159,587
8,Dry Fruit Shake (Milkshake),Oreo Shake (Milkshake),0.6132721877528999,337,440
12,Mango Shake (Milkshake),Wonder Vanilla Shake (Milkshake),0.6147481138963252,587,378
