count,item_1,item_2,lift
1,Caramel Shake (Milkshake),Peanut Butter Banana (Thickshake),71.49056603773585
2,Choco-Chip,Waffle,70.16666666666666
1,Strawberry Banana (Thickshake),Waffle,70.16666666666666
1,Oreo Banana (Thickshake),Waffle,70.16666666666666
1,Choco-Chip,Dry Fruit Shake (Thickshake),69.3109756097561
1,Chocolate Waffle,Dry Fruit Shake (Thickshake),69.3109756097561
1,Chilli Guava Cooler,Oreo Banana (Milkshake),67.66071428571428
1,Peanut Butter Brownie Shake (Thickshake),Waffle Special Offer,66.86470588235294
1,Choco Oreo Shake (Thickshake),Peanut Butter Shake (Thickshake),66.08720930232558
2,Blackcurrant Crunch Shake (Milkshake),Strawberry Crunch Shake (Milkshake),63.150000000000006
1,Choco Chip Brownie (Milkshake),Oreo Brownie (Milkshake),63.14999999999999
1,Kitkat,Snickers Shake (Milkshake),62.45604395604397
1,Choco Chip Brownie (Thickshake),Strawberry Banana Shake (Thickshake),62.45604395604397
1,Oreo Banana Shake (Thickshake),Strawberry Banana Shake (Thickshake),62.45604395604397
1,Fruit A List Shake (Milkshake),Peanut Butter Brownie Shake (Milkshake),60.78609625668449
1,Chocolate Shake (Thickshake),Peanut Butter Shake (Thickshake),60.462765957446805
1,Kulfi Shake (Milkshake),Strawberry Banana (Milkshake),60.14285714285714
1,Kulfi Shake (Milkshake),Rose Lemonade,60.14285714285714
1,Chilli Guava Cooler,Coffee Brownie (Milkshake),59.20312499999999
1,Chilli Pineapple Cooler,Classic Lemonade Cooler,57.409090909090914
1,Coffee Brownie (Thickshake),Nutella Brownie Shake (Thickshake),57.4090909090909
1,Brownie Nuts (Thickshake),Nutella Brownie Shake (Thickshake),57.4090909090909
2,Green Apple,Watermelon,56.4119106699752
1,Chocolate Strawberry Shake (Milkshake),Lichi,54.64903846153847
1,Cookest N Cream Shake (Milkshake),Lichi,52.625
1,Chilli Pineapple Cooler,Kitkat Shake (Milkshake),52.625
1,Chilli Pineapple Cooler,Oreo Brownie (Milkshake),52.625
3,Chilli Pineapple Cooler,Cold Coffee Cooler,51.20270270270271
1,Choco Dip Cookies Shake (Milkshake),Cold Coffee Cooler,51.2027027027027
2,Ice Crush Coffee,Mocha Coffee,50.745535714285715
1,Kulfi Shake (Thickshake),Snickers Shake (Thickshake),49.85526315789473
1,Blue Curacao Cooler,Classic Lemonade Cooler,49.2077922077922
3,Brownie Nuts Shake (Thickshake),Strawberry Shake (Thickshake),48.71571428571429
2,Choco-Dip Cookies Shake (Milkshake),Peanut Butter Shake (Milkshake),48.57692307692308
1,Biscoff,Peanut Butter Brownie Shake (Milkshake),47.760504201680675
1,Coffee Shake (Milkshake),Cookie N Cream Shake (Milkshake),47.362500000000004
1,Chilli Guava Cooler,Peanut Butter Brownie Shake (Thickshake),47.3625
6,Chilli Pineapple Cooler,Waffle,46.777777777777786
1,Choco Dip Cookies Shake (Milkshake),Mango Shake (Thickshake),46.20731707317073
1,Oreo Shake (Thickshake),Peanut Butter Shake (Thickshake),45.83467741935484
1,Berryblast,Pineapple Mojito,45.467999999999996
1,Blackcurrent Shake (Milkshake),Oreo Banana (Milkshake),45.10714285714286
1,Cold Coffee Cooler,Oreo Banana (Milkshake),43.88803088803089
1,Bubblegum,Choco-Dip Cookies Shake (Milkshake),43.719230769230776
1,Kitkat Shake (Milkshake),Mango (Milkshake),43.05681818181818
1,Chilli Guava Cooler,Classic Lemonade Cooler,43.05681818181818
1,Chilli Guava Cooler,Fruit A List Shake (Milkshake),43.05681818181818
1,Banana Crunch Shake (Thickshake),Dates Shake (Milkshake),42.73308270676692
1,Blackcurrant Crunch Shake (Thickshake),Coffee Brownie Shake (Thickshake),40.30851063829787
1,Fruit A List Shake (Milkshake),Pan Shake (Milkshake),39.74475524475525
1,Mango Shake (Thickshake),Oreo Banana Shake (Thickshake),39.60627177700349
3,Blackcurrent Shake (Milkshake),Chilli Guava Cooler,39.46875
1,Chilli Guava Cooler,Kitkat Shake (Milkshake),39.46874999999999
1,Banana Crunch (Thickshake),Hazelnut Shake (Milkshake),38.79522184300342
1,Strawberry Crunch Shake (Milkshake),Waffle Special Offer,37.14705882352941
1,Day-night Waffles,Nutella Waffles,37.147058823529406
2,Dry Fruit Waffles,Green Apple,36.667741935483875
1,Snickers Shake (Thickshake),Strawberry Banana Shake (Thickshake),36.43269230769231
2,Cold Coffee Cooler,Waffle Special Offer,36.14308426073132
1,Kulfi Shake (Milkshake),Munch Shake (Milkshake),36.08571428571429
1,Blueberry,Pineapple Mojito,35.521875
1,Choco-Chip,Choco-Chip Brownie Shake (Thickshake),35.08333333333333
1,Caramel Shake (Thickshake),Choco-Dip Cookies Shake (Thickshake),34.97538461538461
1,Choco-Chip Banana Shake (Thickshake),Mango Shake (Thickshake),34.65548780487805
1,Coffee Brownie Shake (Thickshake),Kitkat,34.55015197568389
1,Anjir,Dry Fruit Shake (Milkshake),33.7299703264095
2,Fruit-A-List Shake (Thickshake),Oreo Shake (Thickshake),33.334310850439884
1,Kulfi Shake (Thickshake),Oreo 'Go' Nuts Shake (Milkshake),33.23684210526316
2,Chilli Pineapple Cooler,Dates Shake (Milkshake),33.23684210526316
3,Mango Shake (Thickshake),Strawberry Banana Shake (Thickshake),31.989681050656667
1,Blue Curacao Cooler,Waffle Special Offer,31.840336134453782
1,Banana Crunch Shake (Milkshake),Strawberry Crunch Shake (Milkshake),31.575000000000003
1,Choco-Chip Banana (Milkshake),Coffee Shake (Milkshake),31.574999999999996
1,Peanut Butter Banana Shake (Milkshake),Pineapple,30.393048128342244
1,Choco-chip Banana (Thickshake),Wonder Vanilla Shake (Milkshake),30.071428571428573
1,Choco Chip Brownie (Thickshake),Coffee Shake (Thickshake),29.52467532467533
1,Fruit A List Shake (Thickshake),Strawberry Cooler,29.448186528497406
2,Blue Curacao Cooler,Cold Coffee Cooler,29.258687258687257
5,Chilli Guava Cooler,Waffle,29.236111111111107
1,Blackcurrent Shake (Milkshake),Fruit A List Shake (Milkshake),28.704545454545457
1,Banana Crunch Shake (Milkshake),Blackcurrant Crunch Shake (Milkshake),28.4175
2,Choco-Dip Cookies Shake (Thickshake),Oreo Shake (Thickshake),28.2059553349876
1,Classic Lemonade Cooler,Cold Coffee Cooler,27.92874692874693
1,Chilli Guava Cooler,Peanut Butter Brownie Shake (Milkshake),27.860294117647058
1,Classic Lemonade,Red Velvet,27.656934306569347
1,Choco Chip Brownie (Thickshake),Hazelnut Shake (Thickshake),27.064285714285717
1,Berryblast,Pineapple,26.745882352941177
4,Blue Curacao Cooler,Waffle,26.730158730158728
1,Chilli Guava Cooler,Chilli Pineapple Cooler,26.3125
1,Choco-A-List Shake (Thickshake),Oreo Shake (Thickshake),26.191244239631338
1,Kitkat,Kulfi Shake (Milkshake),25.775510204081634
1,Snickers Shake (Milkshake),Waffle Special Offer,25.717194570135746
1,Blueberry,Ice Crush Coffee,25.372767857142858
2,Caramel Shake (Thickshake),Wonder Vanilla Shake (Thickshake),25.260000000000005
1,Chilli Pineapple Cooler,Kulfi Nuts Shake (Thickshake),25.260000000000005
1,Banana Shake (Thickshake),Kulfi Nuts Shake (Thickshake),25.260000000000005
2,Mango (Milkshake),Mango Shake (Thickshake),25.2039911308204
1,Dates Shake (Milkshake),Kitkat Shake (Milkshake),24.927631578947366
2,Chilli Guava Cooler,Dates Shake (Milkshake),24.927631578947366
1,Dates Shake (Milkshake),Oreo Brownie (Milkshake),24.927631578947366
1,Brownie Nuts Shake (Thickshake),Coffee Brownie Shake (Thickshake),24.185106382978724
1,Kulfi Nuts Shake (Thickshake),Kulfi Shake (Thickshake),23.930526315789475
1,Caramel Shake (Thickshake),Kulfi Shake (Thickshake),23.930526315789475
1,Choco Chip Brownie (Thickshake),Kulfi Nuts Shake (Milkshake),23.880252100840337
1,Choco-Dip Cookies Shake (Thickshake),Cold Coffee Cooler,23.632016632016633
1,Mango (Milkshake),Peanut Butter Banana Shake (Milkshake),23.485537190082642
1,Banana Shake (Milkshake),Strawberry Banana (Milkshake),23.388888888888886
1,Choco-Chip Brownie Shake (Thickshake),Peanut Butter Banana Shake (Thickshake),23.388888888888886
2,Blackcurrant Shake (Thickshake),Caramel Shake (Thickshake),23.31692307692308
1,Mango Shake (Thickshake),Oreo Brownie (Milkshake),23.103658536585364
2,Blueberry,Green Apple,22.91733870967742
1,Berryblast,Dry Fruit Waffles,22.733999999999998
1,Blackcurrant Crunch Shake (Milkshake),Lemonade,22.733999999999998
1,Banana Crunch Shake (Milkshake),Brownie Nuts Shake (Milkshake),22.733999999999998
1,Coffee Brownie (Milkshake),Kulfi Shake (Milkshake),22.55357142857143
1,Blue Curacao Cooler,Chilli Guava Cooler,22.553571428571427
